"","Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
"113",2013,"KER","US1","2_U1","coarse","alder","S",6,34,7.63529411764706,259.6,3.215,0.11,3.3751022708793,0.0992677138493913,0.013001164371646
"114",2013,"KER","US2","1_U2","coarse","alder","M",2,34,7.59705882352941,258.3,3.215,0.12,3.28809089388967,0.0967085557026375,0.0127297363294219
"115",2013,"KER","US2","1_U2","coarse","alder","S",5,34,7.59705882352941,258.3,3.215,0.4,2.08411808956374,0.0612975908695217,0.00806859500411823
"116",2013,"KER","US2","1_U2","coarse","alder","M",6,34,7.59705882352941,258.3,3.215,0.12,3.28809089388967,0.0967085557026375,0.0127297363294219
"117",2013,"KER","US2","1_U2","coarse","alder","M",1,34,7.59705882352941,258.3,3.215,0.25,2.55412171880947,0.075121227023808,0.00988819867909204
"118",2013,"KER","US2","1_U2","coarse","alder","S",3,34,7.59705882352941,258.3,3.215,0.31,2.33901033919253,0.0687944217409567,0.00905540201003689
"119",2013,"KER","US2","1_U2","coarse","alder","S",4,34,7.59705882352941,258.3,3.215,0.14,3.13394021406242,0.0921747121783063,0.0121329470153404
"120",2013,"MES","DS","3_D","coarse","alder","M",1,40,4.6175,184.7,3.215,1.81,0.574500512411848,0.0143625128102962,0.00311045215166133
"121",2013,"MES","DS","3_D","coarse","alder","M",2,40,4.6175,184.7,3.215,2.04,0.454877549833458,0.0113719387458364,0.00246279128226019
"122",2013,"MES","DS","3_D","coarse","alder","S",3,40,4.6175,184.7,3.215,1.64,0.673131115853476,0.0168282778963369,0.00364445650164307
"123",2013,"MES","DS","3_D","coarse","alder","S",4,40,4.6175,184.7,3.215,1.06,1.10955844956561,0.0277389612391402,0.00600735489748569
"124",2013,"MES","DS","3_D","coarse","alder","S",5,40,4.6175,184.7,3.215,1.67,0.655003731260919,0.016375093281523,0.0035463114848994
"126",2013,"MES","US1","2_U1","coarse","alder","P",2,40,4.845,193.8,3.215,1.52,0.749117022831398,0.0187279255707849,0.0038654129145067
"127",2013,"MES","US1","2_U1","coarse","alder","M",1,40,4.845,193.8,3.215,0.75,1.45550943014136,0.0363877357535341,0.00751036857658082
"128",2013,"MES","US1","2_U1","coarse","alder","S",3,40,4.845,193.8,3.215,1.48,0.775785269913559,0.019394631747839,0.00400301996859422
"129",2013,"MES","US1","2_U1","coarse","alder","S",4,40,4.845,193.8,3.215,1.8,0.580040692787464,0.0145010173196866,0.00299298603089507
"130",2013,"MES","US1","2_U1","coarse","alder","S",5,40,4.845,193.8,3.215,1.88,0.536555580847725,0.0134138895211931,0.00276860464833707
