Year ,Site,Location,SPEAR,median_msPAFraMix_all,median_msPAFraMix_HM,median_msPAFraMix_Oth,median_msPAFraMix_PB,median_msPAFraMix_org,median_msPAFraMix_F,median_msPAFraMix_H,median_msPAFraMix_I,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM_med,median_sumTU_Oth_med,median_sumTU_PB_med,median_sumTU_all_med,median_sumTU_org_med,median_sumTU_F_med,median_sumTU_H_med,median_sumTU_I_med,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,median_sumTU_F.DM_gm,median_sumTU_H.DM_gm,median_sumTU_I.DM_gm,median_sumTU_HM.DM_med,median_sumTU_Oth.DM_med,median_sumTU_PB.DM_med,median_sumTU_all.DM_med,median_sumTU_org.DM_med,median_sumTU_F.DM_med,median_sumTU_H.DM_med,median_sumTU_I.DM_med
2013,NIE,D,37.75280045,0.000196462,NA,5.26E-05,0.00014382,0.000196462,5.00E-11,2.81E-07,0.000143539,0,1.41E-05,0.000101001,0.000115064,0.000115064,1.37E-05,1.46E-06,8.20E-05,0,1.12E-05,0.000115024,0.000126197,0.000126197,1.56E-05,1.73E-06,9.40E-05,0,0.000570286,0.001240448,0.001810734,0.001810734,2.30E-05,1.33E-06,0.001210346,0,0.000569644,0.001360636,0.00193028,0.00193028,1.58E-05,6.88E-07,0.001340258
2013,NIE,U1,39.41474525,8.79E-05,NA,0,8.79E-05,8.79E-05,0,1.54E-08,8.78E-05,0,3.01E-07,3.05E-06,3.35E-06,3.35E-06,0,4.21E-07,8.09E-07,0,2.59E-07,1.83E-05,1.85E-05,1.85E-05,0,4.91E-07,1.57E-05,0,2.51E-07,4.18E-06,4.43E-06,4.43E-06,0,3.70E-07,2.93E-08,0,2.26E-07,2.84E-06,3.07E-06,3.07E-06,0,1.94E-07,2.93E-08
2014,REI,D,15.99300392,0.000508782,3.97E-05,0.000345247,0.000163017,0.000455474,4.50E-10,1.39E-05,0.000118107,0.007147651,4.40E-05,9.16E-05,0.007556898,0.000129804,5.70E-06,1.35E-05,6.71E-05,0.008833864,3.91E-05,9.76E-05,0.009241513,0.000130025,9.91E-06,8.89E-06,7.78E-05,0.029884127,3.11E-05,0.001507921,0.039200673,0.001531342,3.64E-05,6.51E-06,0.001469346,0.027117051,2.80E-05,0.001667281,0.036137904,0.001688189,2.10E-05,5.38E-06,0.001627911
2014,REI,U1,18.69920778,4.37E-05,3.20E-06,0,1.32E-05,1.32E-05,0,1.99E-06,0,0.003630828,3.84E-07,7.90E-06,0.003635984,8.59E-06,4.96E-07,5.11E-06,0,0.004474759,3.49E-07,4.57E-06,0.004477539,6.08E-06,1.13E-06,2.42E-06,0,0.014443761,2.23E-07,6.35E-06,0.014448182,6.94E-06,3.76E-06,2.10E-06,0,0.013492886,2.00E-07,5.15E-06,0.013496374,5.69E-06,2.07E-06,2.33E-06,0
2013,ROM,D,30.73757409,0.000134199,NA,6.95E-05,6.47E-05,0.000134199,1.25E-08,9.59E-07,6.37E-05,0,2.15E-05,0.000145878,0.000167352,0.000167352,5.83E-05,5.19E-06,6.03E-05,0,1.79E-05,0.000154881,0.000172788,0.000172788,5.96E-05,4.51E-06,6.53E-05,0,0.000435574,0.001400478,0.001836052,0.001836052,7.09E-05,3.89E-06,0.001311991,0,0.000433982,0.001531008,0.00196499,0.00196499,6.31E-05,3.95E-06,0.001453566
2013,ROM,U1,34.61677595,2.01E-05,NA,5.32E-08,2.00E-05,2.01E-05,9.50E-10,5.00E-07,1.95E-05,0,2.75E-06,3.17E-05,3.44E-05,3.44E-05,6.47E-06,2.85E-06,2.15E-05,0,2.40E-06,3.24E-05,3.48E-05,3.48E-05,6.85E-06,2.00E-06,2.25E-05,0,2.41E-06,0.000484497,0.000486911,0.000486911,8.85E-06,1.52E-06,0.000472317,0,2.06E-06,0.000533579,0.000535635,0.000535635,7.40E-06,1.65E-06,0.000523284
2013,ROT,D,47.47604207,1.29E-05,NA,1.25E-05,4.46E-07,1.29E-05,0,4.45E-07,0,0,4.40E-06,5.19E-06,9.59E-06,9.59E-06,1.93E-06,9.62E-07,6.93E-08,0,3.64E-06,5.34E-06,8.98E-06,8.98E-06,1.85E-06,8.94E-07,6.86E-08,0,0.000119324,6.95E-06,0.000126277,0.000126277,1.51E-06,7.20E-07,8.00E-08,0,0.000119081,5.25E-06,0.000124336,0.000124336,1.45E-06,5.15E-07,8.00E-08
2013,ROT,U1,49.59962202,3.48E-07,NA,7.20E-08,2.76E-07,3.48E-07,0,2.76E-07,0,0,3.43E-07,1.47E-06,1.81E-06,1.81E-06,0,7.47E-07,2.25E-08,0,3.20E-07,1.50E-06,1.82E-06,1.82E-06,0,6.88E-07,2.23E-08,0,2.54E-07,2.04E-06,2.29E-06,2.29E-06,0,5.51E-07,2.60E-08,0,2.39E-07,1.44E-06,1.67E-06,1.67E-06,0,3.97E-07,2.60E-08
2013,SEV,D,28.36566105,0.000104357,NA,1.50E-05,8.93E-05,0.000104357,2.03E-08,3.89E-06,8.54E-05,0,7.98E-06,0.000161071,0.000169055,0.000169055,1.38E-05,5.41E-05,8.76E-05,0,7.63E-06,0.000221277,0.000228902,0.000228902,1.33E-05,5.00E-05,0.000152619,0,4.96E-06,0.000553354,0.000558311,0.000558311,1.42E-05,4.81E-05,0.000482456,0,4.72E-06,0.000586887,0.000591609,0.000591609,1.30E-05,4.71E-05,0.000520935
2013,SEV,U1,31.03962115,6.99E-05,NA,0,6.99E-05,6.99E-05,5.00E-09,4.54E-06,6.54E-05,0,8.27E-07,9.45E-05,9.54E-05,9.54E-05,1.03E-05,6.29E-05,1.72E-05,0,7.35E-07,9.90E-05,9.98E-05,9.98E-05,1.05E-05,5.83E-05,2.64E-05,0,6.63E-07,0.000468396,0.000469059,0.000469059,3.94E-05,5.59E-05,0.000367426,0,6.07E-07,0.000503565,0.000504171,0.000504171,3.87E-05,5.39E-05,0.000407068
2014,UNT,D,20.26063269,0.001178965,7.64E-05,0.000288647,0.000655206,0.001094699,7.60E-09,8.29E-05,0.000385656,0.012887915,5.19E-05,0.000358138,0.013369877,0.000421704,1.84E-05,2.29E-05,0.000316807,0.015671308,4.25E-05,0.000402432,0.016191786,0.000441898,3.30E-05,2.21E-05,0.00035247,0.056089699,3.85E-05,0.003181615,0.058882288,0.003220066,9.12E-05,1.78E-05,0.002958669,0.048967489,3.44E-05,0.003417483,0.051919314,0.003451882,5.39E-05,1.24E-05,0.003273518
2014,UNT,U1,25.38579045,0.000172841,2.42E-05,0,0.000165818,0.000165871,4.50E-10,6.62E-06,0.000156195,0.006744247,6.92E-07,2.29E-05,0.006780043,2.38E-05,5.92E-06,9.59E-06,1.94E-06,0.008265844,6.48E-07,4.30E-05,0.008446449,4.34E-05,1.13E-05,7.94E-06,2.77E-05,0.026752522,5.75E-07,3.90E-05,0.026792477,3.97E-05,3.21E-05,6.09E-06,7.62E-08,0.024435985,5.48E-07,2.34E-05,0.024469014,2.41E-05,1.91E-05,4.29E-06,7.60E-08
2014,VAL,D,26.88089288,0.001489826,0.000192424,0.000519778,0.000890076,0.001324612,1.50E-10,0.000126396,0.000707884,0.012065855,8.69E-05,0.000678113,0.012866861,0.000785835,4.66E-06,2.95E-05,0.000548606,0.013315738,7.16E-05,0.000706247,0.014128244,0.000812506,9.26E-06,2.64E-05,0.000581959,0.053020337,8.99E-05,0.003109799,0.05766626,0.004042065,2.55E-05,2.07E-05,0.003076723,0.045725164,8.10E-05,0.003421211,0.049923301,0.004316816,1.50E-05,1.53E-05,0.003401406
2014,VAL,U1,22.23544423,0.000576349,1.49E-05,7.35E-07,0.000562566,0.000562951,0,2.25E-06,0.000560319,0.005479841,2.68E-06,1.17E-05,0.00549187,1.42E-05,8.37E-08,5.65E-06,6.86E-06,0.006513369,2.38E-06,0.000121443,0.006653254,0.000123713,8.43E-08,3.65E-06,0.000117647,0.023731801,1.77E-06,2.89E-06,0.023734358,4.86E-06,8.30E-08,2.41E-06,6.35E-08,0.020930797,1.58E-06,2.01E-06,0.020932551,3.98E-06,8.26E-08,1.87E-06,6.32E-08
