"Year","Site_code","Location","Sample_location","Leaf","Rep","Days","T_mu","DD","k_microbe","k_microbe_day","k_microbe_dd","k_invert","k_invert_day","k_invert_dd"
2013,"NIE","US1","2_U1","oak",2,36,7.71111111111111,277.6,0.223284884082447,0.00620235789117909,0.000804340360527548,0.215975061835597,0.00599930727321103,0.000778008147822756
2013,"NIE","US1","2_U1","oak",3,36,7.71111111111111,277.6,0.248330916008535,0.00689808100023708,0.000894563818474549,0.0746615287690195,0.00207393135469499,0.000268953633894163
2013,"NIE","US1","2_U1","oak",4,36,7.71111111111111,277.6,0.212739970905832,0.00590944363627312,0.00076635436205271,0.0478912877044148,0.00133031354734486,0.000172519047926566
2013,"NIE","US1","2_U1","oak",5,36,7.71111111111111,277.6,0.233942178556435,0.00649839384878987,0.000842731190765257,0.0707930519910993,0.00196647366641943,0.000255018198815199
2013,"NIE","US1","2_U1","oak",6,36,7.71111111111111,277.6,0.262929715429688,0.00730360320638021,0.000947153153565157,0.168035599546478,0.00466765554295772,0.000605315560325929
2013,"NIE","US2","1_U2","oak",1,36,7.73888888888889,278.6,0.223284884082447,0.00620235789117909,0.000801453280985094,0.00355240160436788,9.86778223435523e-05,1.27509031025409e-05
2013,"NIE","US2","1_U2","oak",2,36,7.73888888888889,278.6,0.209249565966064,0.00581248794350177,0.000751075254723847,0.0659579677917975,0.00183216577199438,0.000236747910236172
2013,"NIE","US2","1_U2","oak",3,36,7.73888888888889,278.6,0.212739970905832,0.00590944363627312,0.000763603628520575,0.092830986042894,0.0025786385011915,0.00033320526217837
2013,"NIE","US2","1_U2","oak",4,36,7.73888888888889,278.6,0.248330916008535,0.00689808100023708,0.000891352893067246,0.152969344781427,0.00424914846615076,0.000549064410557887
2013,"NIE","US2","1_U2","oak",6,36,7.73888888888889,278.6,0.241110668035048,0.00669751855652911,0.000865436712257889,0.0324352757531541,0.000900979882032058,0.000116422382459275
2013,"ROM","DS","3_D","oak",1,35,5.95428571428571,208.4,0.188559172708618,0.00538740493453193,0.00090479449476304,0,0,0
2013,"ROM","DS","3_D","oak",2,35,5.95428571428571,208.4,0.174999642922985,0.00499998979779958,0.000839729572567107,0.0275840736796193,0.000788116390846266,0.000132361198078787
2013,"ROM","DS","3_D","oak",3,35,5.95428571428571,208.4,0.168288208334999,0.0048082345238571,0.00080752499201055,0.055363637786695,0.001581818222477,0.000265660450032126
2013,"ROM","DS","3_D","oak",4,35,5.95428571428571,208.4,0.191977979457403,0.00548508512735438,0.000921199517549919,0.0139784216238407,0.000399383474966877,6.7074959807297e-05
2013,"ROM","DS","3_D","oak",5,35,5.95428571428571,208.4,0.13863199875211,0.00396091425006029,0.000665220723378648,0,0,0
2013,"ROM","DS","3_D","oak",6,35,5.95428571428571,208.4,0.125728593916203,0.00359224554046293,0.000603304193455867,0.0518486956792505,0.00148139130512144,0.000248794125140357
2013,"ROM","US1","2_U1","oak",1,35,5.4,189,0.100410785931913,0.00286887959805464,0.000531273999639749,0.0382769526267951,0.00109362721790843,0.000202523558871932
2013,"ROM","US1","2_U1","oak",2,35,5.4,189,0.128938869546451,0.00368396770132716,0.000682216240986512,0.0722938379050495,0.00206553822585856,0.000382507078862696
2013,"ROM","US1","2_U1","oak",3,35,5.4,189,0.112989568138773,0.00322827337539351,0.000597828402850649,0.0449883872147821,0.00128538249185092,0.000238033794787207
2013,"ROM","US1","2_U1","oak",4,35,5.4,189,0.112989568138773,0.00322827337539351,0.000597828402850649,0.0316102612686058,0.000903150321960165,0.000167250059622253
2013,"ROM","US1","2_U1","oak",5,35,5.4,189,0.168288208334999,0.0048082345238571,0.000890413800714278,0.0118727784302843,0.000339222240865266,6.28189334935677e-05
2013,"ROM","US1","2_U1","oak",6,35,5.4,189,0.158304764350815,0.00452299326716614,0.000837591345771508,0.065397258845989,0.0018684931098854,0.00034601724257137
2013,"ROM","US2","1_U2","oak",1,35,5.42,189.7,0.178372327401625,0.00509635221147499,0.000940286385880994,0.03334776514623,0.000952793289892287,0.000175792119906326
2013,"ROM","US2","1_U2","oak",2,35,5.42,189.7,0.148420005118273,0.0042405715748078,0.000782393279484834,0.0368139731227163,0.00105182780350618,0.000194064170388594
