Year,Name,Site,Location,Site_code,Mesh,Leaf,Rep,Dish,Dry,Ashed,AFDM,Initial_AFDM,Days,kdays,DD,Mean_daily_temp,kdd,Person
2013,Romont,ROM,US1,ROM,coarse,alder,1,685,3.43,0.88,2.55,3.215,35,0.006620971,189,5,0.001226321,S
2013,Romont,ROM,US1,ROM,coarse,alder,2,686,2.87,0.79,2.08,3.215,35,0.012441699,189,5,0.002304422,M
2013,Romont,ROM,US1,ROM,coarse,alder,3,687,3.21,0.83,2.38,3.215,35,0.008592196,189,5,0.001591426,S
2013,Romont,ROM,US1,ROM,coarse,alder,4,688,2.93,0.94,1.99,3.215,35,0.013705506,189,5,0.002538501,M
2013,Romont,ROM,US1,ROM,coarse,alder,5,689,3.38,0.93,2.45,3.215,35,0.007763981,189,5,0.001438026,M
2013,Romont,ROM,US1,ROM,coarse,alder,6,690,3.18,0.97,2.21,3.215,35,0.010709567,189,5,0.001983601,M
2013,Romont,ROM,US2,ROM,coarse,alder,1,709,3.32,0.98,2.34,3.215,35,0.009076469,190,5,0.001675113,S
2013,Romont,ROM,US2,ROM,coarse,alder,2,710,2.23,0.49,1.74,3.215,35,0.017541207,190,5,0.003237327,M
2013,Romont,ROM,US2,ROM,coarse,alder,3,711,3.02,0.74,2.28,3.215,35,0.009818626,190,5,0.001812082,S
2013,Romont,ROM,US2,ROM,coarse,alder,4,712,2.59,0.95,1.64,3.215,35,0.019232318,190,5,0.003549431,M
2013,Romont,ROM,US2,ROM,coarse,alder,5,713,3.04,0.9,2.14,3.215,35,0.011629187,190,5,0.002146231,S
2013,Romont,ROM,US2,ROM,coarse,alder,6,714,1.96,0.45,1.51,3.215,35,0.021591935,190,5,0.003984911,M
2013,Rothenthurm,ROT,DS,ROT,coarse,alder,1,733,3.55,1.13,2.42,3.215,35,0.008115995,172,5,0.001654643,P
2013,Rothenthurm,ROT,DS,ROT,coarse,alder,2,734,3.52,1.17,2.35,3.215,35,0.008954629,172,5,0.001825619,U
