Year,Site,Location,Total_TU_mu,Total_TU_med,Total_TU_max,Metal_TU_mu,Metal_TU_med,Metal_TU_max,Fung_TU_mu,Herb_TU_mu,Insect_TU_mu,Other_TU_mu,Pharma_TU_mu,Fung_TU_med,Herb_TU_med,Insect_TU_med,Other_TU_med,Pharma_TU_med,Fung_TU_max,Herb_TU_max,Insect_TU_max,Other_TU_max,Pharma_TU_max,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,maxTU_HM,maxTU_Oth,maxTU_PB
2013,ROT,U2,0.000172823,0.000172823,0.000205524,NA,NA,NA,1.46E-06,7.40E-07,2.60E-08,0.000167423,3.17E-06,1.46E-06,7.40E-07,2.60E-08,0.000167423,3.17E-06,2.92E-06,8.96E-07,5.20E-08,0.00020414,5.86E-06,NA,3.43E-07,1.47E-06,1.81E-06,1.81E-06,0,7.47E-07,2.25E-08,NA,2.54E-07,2.04E-06,2.29E-06,2.29E-06,NA,4.44E-07,1.98E-06
2013,SEV,D,0.003125253,0.003125253,0.004825821,NA,NA,NA,2.31E-05,4.92E-05,0.000482456,0.002511126,5.94E-05,2.31E-05,4.92E-05,0.000482456,0.002511126,5.94E-05,4.52E-05,9.58E-05,0.000734682,0.004082699,0.000113949,NA,7.98E-06,0.000161071,0.000169055,0.000169055,1.38E-05,5.41E-05,8.76E-05,NA,4.96E-06,0.000553354,0.000558311,0.000558311,NA,9.76E-06,0.000281737
2013,SEV,U1,0.000806869,0.000806869,0.001411167,NA,NA,NA,4.54E-05,5.69E-05,0.000367468,0.000337053,1.29E-07,4.54E-05,5.69E-05,0.000367468,0.000337053,1.29E-07,8.95E-05,0.000112143,0.000734679,0.000673697,2.48E-07,NA,8.27E-07,9.45E-05,9.54E-05,9.54E-05,1.03E-05,6.29E-05,1.72E-05,NA,6.63E-07,0.000468396,0.000469059,0.000469059,NA,1.08E-06,0.000149995
2013,SEV,U2,0.000806869,0.000806869,0.001411167,NA,NA,NA,4.54E-05,5.69E-05,0.000367468,0.000337053,1.29E-07,4.54E-05,5.69E-05,0.000367468,0.000337053,1.29E-07,8.95E-05,0.000112143,0.000734679,0.000673697,2.48E-07,NA,8.27E-07,9.45E-05,9.54E-05,9.54E-05,1.03E-05,6.29E-05,1.72E-05,NA,6.63E-07,0.000468396,0.000469059,0.000469059,NA,1.08E-06,0.000149995
2014,ELG,D,0.043035085,0.040732663,0.071650309,0.037241973,0.035558839,0.069688755,1.81E-05,1.57E-05,0.001731834,0.041086963,0.000182471,2.01E-05,1.27E-05,0.000682401,0.039491814,1.90E-05,3.00E-05,4.34E-05,0.007346935,0.070976902,0.000994258,0.008274555,2.73E-05,9.04E-05,0.008398434,0.000123879,1.25E-06,1.44E-05,5.08E-05,0.035558838,2.03E-05,0.000731656,0.036606388,0.00092866,0.016568874,6.73E-05,0.000388541
2014,ELG,U1,0.017675859,0.013761475,0.033260187,0.017589125,0.013734103,0.033038873,3.83E-06,4.54E-06,3.82E-08,0.017662403,5.04E-06,0,8.00E-07,5.48E-09,0.013760745,8.75E-08,1.61E-05,1.39E-05,2.00E-07,0.033200343,2.99E-05,0.003382851,3.42E-07,1.44E-05,0.003387379,1.46E-05,0,4.07E-06,5.93E-07,0.013734104,2.68E-07,8.40E-07,0.013734971,1.14E-06,0.007862128,3.07E-06,0.000130785
2014,ELG,U2,0.017675859,0.013761475,0.033260187,0.017589125,0.013734103,0.033038873,3.83E-06,4.54E-06,3.82E-08,0.017662403,5.04E-06,0,8.00E-07,5.48E-09,0.013760745,8.75E-08,1.61E-05,1.39E-05,2.00E-07,0.033200343,2.99E-05,0.003382851,3.42E-07,1.44E-05,0.003387379,1.46E-05,0,4.07E-06,5.93E-07,0.013734104,2.68E-07,8.40E-07,0.013734971,1.14E-06,0.007862128,3.07E-06,0.000130785
2014,ELL,D,0.058123476,0.055209087,0.097408682,0.049837005,0.044695943,0.085560132,9.50E-05,4.21E-05,0.00116542,0.056219095,0.000601848,8.81E-05,1.20E-05,0.001116328,0.052118007,1.85E-05,0.000173432,0.000188926,0.002428891,0.094766682,0.003524971,0.010545144,4.53E-05,0.00019599,0.010960925,0.000234635,1.12E-05,1.82E-05,0.00017022,0.044695943,3.66E-05,0.001308651,0.047440561,0.001338496,0.020272293,8.58E-05,0.000606329
2014,ELL,U1,0.027530963,0.025681997,0.048761011,0.02707584,0.025389111,0.047196115,5.01E-05,2.35E-05,8.78E-05,0.027369478,1.53E-08,1.37E-05,3.55E-06,3.38E-08,0.02566469,1.15E-09,0.000158819,0.000108865,0.000526593,0.048053612,7.69E-08,0.006184992,2.44E-07,1.53E-05,0.006200736,1.57E-05,3.92E-06,8.68E-06,3.65E-06,0.025389112,2.25E-07,1.71E-05,0.025406591,1.75E-05,0.011283953,1.40E-06,0.000188555
2014,ELL,U2,0.027530963,0.025681997,0.048761011,0.02707584,0.025389111,0.047196115,5.01E-05,2.35E-05,8.78E-05,0.027369478,1.53E-08,1.37E-05,3.55E-06,3.38E-08,0.02566469,1.15E-09,0.000158819,0.000108865,0.000526593,0.048053612,7.69E-08,0.006184992,2.44E-07,1.53E-05,0.006200736,1.57E-05,3.92E-06,8.68E-06,3.65E-06,0.025389112,2.25E-07,1.71E-05,0.025406591,1.75E-05,0.011283953,1.40E-06,0.000188555
